rho_1,theta_1,field_strength
1.8e+06,5.02655,27.4651
2.4e+06,5.02655,19.8938
3e+06,5.02655,14.7734
3.6e+06,5.02655,11.2441
4.2e+06,5.02655,8.7386
4.8e+06,5.02655,6.91176
5.4e+06,5.02655,5.54965
6e+06,5.02655,4.51499
0,5.08938,56.9914
600000,5.08938,50.1298
1.2e+06,5.08938,38.0214
1.8e+06,5.08938,27.3525
2.4e+06,5.08938,19.8204
3e+06,5.08938,14.7252
3.6e+06,5.08938,11.2113
4.2e+06,5.08938,8.71558
4.8e+06,5.08938,6.8951
5.4e+06,5.08938,5.53732
6e+06,5.08938,4.50567
0,5.15221,56.9914
600000,5.15221,50.0109
1.2e+06,5.15221,37.8691
1.8e+06,5.15221,27.2395
2.4e+06,5.15221,19.7472
3e+06,5.15221,14.6775
3.6e+06,5.15221,11.1791
4.2e+06,5.15221,8.693
4.8e+06,5.15221,6.87881
5.4e+06,5.15221,5.52527
6e+06,5.15221,4.49659
0,5.21504,56.9914
600000,5.21504,49.8948
1.2e+06,5.21504,37.7177
1.8e+06,5.21504,27.127
2.4e+06,5.21504,19.6747
3e+06,5.21504,14.6305
3.6e+06,5.21504,11.1475
4.2e+06,5.21504,8.67099
4.8e+06,5.21504,6.86297
5.4e+06,5.21504,5.51359
6e+06,5.21504,4.4878
0,5.27788,56.9914
600000,5.27788,49.7824
1.2e+06,5.27788,37.5685
1.8e+06,5.27788,27.016
2.4e+06,5.27788,19.6037
3e+06,5.27788,14.5848
3.6e+06,5.27788,11.1169
4.2e+06,5.27788,8.64972
4.8e+06,5.27788,6.84772
5.4e+06,5.27788,5.50236
6e+06,5.27788,4.47936
0,5.34071,56.9914
600000,5.34071,49.6747
1.2e+06,5.34071,37.4229
1.8e+06,5.34071,26.9075
2.4e+06,5.34071,19.5347
3e+06,5.34071,14.5407
3.6e+06,5.34071,11.0876
4.2e+06,5.34071,8.62937
4.8e+06,5.34071,6.83315
5.4e+06,5.34071,5.49167
6e+06,5.34071,4.47134
0,5.40354,56.9914
600000,5.40354,49.5725
1.2e+06,5.40354,37.2825
1.8e+06,5.40354,26.8028
2.4e+06,5.40354,19.4685
3e+06,5.40354,14.4986
3.6e+06,5.40354,11.0597
4.2e+06,5.40354,8.6101
4.8e+06,5.40354,6.8194
5.4e+06,5.40354,5.48159
6e+06,5.40354,4.46379
0,5.46637,56.9914
600000,5.46637,49.4769
1.2e+06,5.46637,37.149
1.8e+06,5.46637,26.7031
2.4e+06,5.46637,19.4058
3e+06,5.46637,14.459
3.6e+06,5.46637,11.0335
4.2e+06,5.46637,8.59209
4.8e+06,5.46637,6.80657
5.4e+06,5.46637,5.4722
6e+06,5.46637,4.45676
0,5.5292,56.9914
600000,5.5292,49.3886
1.2e+06,5.5292,37.0241
1.8e+06,5.5292,26.6098
2.4e+06,5.5292,19.3474
3e+06,5.5292,14.4222
3.6e+06,5.5292,11.0093
4.2e+06,5.5292,8.57548
4.8e+06,5.5292,6.79477
5.4e+06,5.5292,5.46358
6e+06,5.5292,4.45033
0,5.59203,56.9914
600000,5.59203,49.3086
1.2e+06,5.59203,36.9095
1.8e+06,5.59203,26.5241
2.4e+06,5.59203,19.294
3e+06,5.59203,14.3887
3.6e+06,5.59203,10.9873
4.2e+06,5.59203,8.56046
4.8e+06,5.59203,6.78411
5.4e+06,5.59203,5.45581
6e+06,5.59203,4.44453
0,5.65487,56.9914
600000,5.65487,49.2376
1.2e+06,5.65487,36.8068
1.8e+06,5.65487,26.4473
2.4e+06,5.65487,19.2462
3e+06,5.65487,14.3589
3.6e+06,5.65487,10.9679
4.2e+06,5.65487,8.54715
4.8e+06,5.65487,6.7747
5.4e+06,5.65487,5.44895
6e+06,5.65487,4.43941
0,5.7177,56.9914
600000,5.7177,49.1766
1.2e+06,5.7177,36.7176
1.8e+06,5.7177,26.3806
2.4e+06,5.7177,19.2048
3e+06,5.7177,14.3332
3.6e+06,5.7177,10.9511
4.2e+06,5.7177,8.53571
4.8e+06,5.7177,6.76661
5.4e+06,5.7177,5.44306
6e+06,5.7177,4.43503
0,5.78053,56.9914
600000,5.78053,49.1261
1.2e+06,5.78053,36.6433
1.8e+06,5.78053,26.3249
2.4e+06,5.78053,19.1704
3e+06,5.78053,14.3118
3.6e+06,5.78053,10.9372
4.2e+06,5.78053,8.52625
4.8e+06,5.78053,6.75992
5.4e+06,5.78053,5.4382
6e+06,5.78053,4.43142
0,5.84336,56.9914
600000,5.84336,49.0866
1.2e+06,5.84336,36.5849
1.8e+06,5.84336,26.2811
2.4e+06,5.84336,19.1434
3e+06,5.84336,14.2951
3.6e+06,5.84336,10.9263
4.2e+06,5.84336,8.51886
4.8e+06,5.84336,6.75472
5.4e+06,5.84336,5.43442
6e+06,5.84336,4.4286
0,5.90619,56.9914
600000,5.90619,49.0587
1.2e+06,5.90619,36.5434
1.8e+06,5.90619,26.2501
2.4e+06,5.90619,19.1243
3e+06,5.90619,14.2832
3.6e+06,5.90619,10.9186
4.2e+06,5.90619,8.51364
4.8e+06,5.90619,6.75103
5.4e+06,5.90619,5.43175
6e+06,5.90619,4.42662
0,5.96903,56.9914
600000,5.96903,49.0426
1.2e+06,5.96903,36.5195
1.8e+06,5.96903,26.2321
2.4e+06,5.96903,19.1132
3e+06,5.96903,14.2764
3.6e+06,5.96903,10.9142
4.2e+06,5.96903,8.51064
4.8e+06,5.96903,6.74892
5.4e+06,5.96903,5.43021
6e+06,5.96903,4.42548
0,6.03186,56.9914
600000,6.03186,49.0386
1.2e+06,6.03186,36.5135
1.8e+06,6.03186,26.2276
2.4e+06,6.03186,19.1104
3e+06,6.03186,14.2747
3.6e+06,6.03186,10.9131
4.2e+06,6.03186,8.50988
4.8e+06,6.03186,6.74839
5.4e+06,6.03186,5.42983
6e+06,6.03186,4.42519
0,6.09469,56.9914
600000,6.09469,49.0466
1.2e+06,6.09469,36.5255
1.8e+06,6.09469,26.2366
2.4e+06,6.09469,19.116
3e+06,6.09469,14.2781
3.6e+06,6.09469,10.9153
4.2e+06,6.09469,8.51139
4.8e+06,6.09469,6.74945
5.4e+06,6.09469,5.4306
6e+06,6.09469,4.42576
0,6.15752,56.9914
600000,6.15752,49.0667
1.2e+06,6.15752,36.5553
1.8e+06,6.15752,26.259
2.4e+06,6.15752,19.1298
3e+06,6.15752,14.2866
3.6e+06,6.15752,10.9208
4.2e+06,6.15752,8.51514
4.8e+06,6.15752,6.75209
5.4e+06,6.15752,5.43251
6e+06,6.15752,4.42719
0,6.22035,56.9914
600000,6.22035,49.0985
1.2e+06,6.22035,36.6025
1.8e+06,6.22035,26.2943
2.4e+06,6.22035,19.1516
3e+06,6.22035,14.3001
3.6e+06,6.22035,10.9296
4.2e+06,6.22035,8.52109
4.8e+06,6.22035,6.75628
5.4e+06,6.22035,5.43556
6e+06,6.22035,4.42945
0,6.28319,56.9914
600000,6.28319,49.1417
1.2e+06,6.28319,36.6664
1.8e+06,6.28319,26.3421
2.4e+06,6.28319,19.1811
3e+06,6.28319,14.3184
3.6e+06,6.28319,10.9415
4.2e+06,6.28319,8.52917
4.8e+06,6.28319,6.76199
5.4e+06,6.28319,5.4397
6e+06,6.28319,4.43253
