rho_1,theta_1,field_strength
1.2e+06,1.00531,38.8053
1.8e+06,1.00531,27.9327
2.4e+06,1.00531,20.2038
3e+06,1.00531,14.9803
3.6e+06,1.00531,11.3865
4.2e+06,1.00531,8.8398
4.8e+06,1.00531,6.98556
5.4e+06,1.00531,5.60467
6e+06,1.00531,4.55677
0,1.06814,56.9914
600000,1.06814,50.8993
1.2e+06,1.06814,38.9415
1.8e+06,1.06814,28.0332
2.4e+06,1.06814,20.2715
3e+06,1.06814,15.0262
3.6e+06,1.06814,11.4186
4.2e+06,1.06814,8.86281
4.8e+06,1.06814,7.00247
5.4e+06,1.06814,5.61736
6e+06,1.06814,4.56645
0,1.13097,56.9914
600000,1.13097,51.0169
1.2e+06,1.13097,39.0731
1.8e+06,1.13097,28.1303
2.4e+06,1.13097,20.3373
3e+06,1.13097,15.0711
3.6e+06,1.13097,11.4501
4.2e+06,1.13097,8.88546
4.8e+06,1.13097,7.01917
5.4e+06,1.13097,5.62991
6e+06,1.13097,4.57604
0,1.19381,56.9914
600000,1.19381,51.132
1.2e+06,1.19381,39.1999
1.8e+06,1.19381,28.2238
2.4e+06,1.19381,20.401
3e+06,1.19381,15.1148
3.6e+06,1.19381,11.4808
4.2e+06,1.19381,8.90768
4.8e+06,1.19381,7.0356
5.4e+06,1.19381,5.64229
6e+06,1.19381,4.58552
0,1.25664,56.9914
600000,1.25664,51.2443
1.2e+06,1.25664,39.3216
1.8e+06,1.25664,28.3136
2.4e+06,1.25664,20.4624
3e+06,1.25664,15.1572
3.6e+06,1.25664,11.5108
4.2e+06,1.25664,8.9294
4.8e+06,1.25664,7.05169
5.4e+06,1.25664,5.65444
6e+06,1.25664,4.59484
0,1.31947,56.9914
600000,1.31947,51.3534
1.2e+06,1.31947,39.4382
1.8e+06,1.31947,28.3996
2.4e+06,1.31947,20.5215
3e+06,1.31947,15.1981
3.6e+06,1.31947,11.5399
4.2e+06,1.31947,8.95055
4.8e+06,1.31947,7.0674
5.4e+06,1.31947,5.66632
6e+06,1.31947,4.60398
0,1.3823,56.9914
600000,1.3823,51.4591
1.2e+06,1.3823,39.5497
1.8e+06,1.3823,28.4818
2.4e+06,1.3823,20.5783
3e+06,1.3823,15.2376
3.6e+06,1.3823,11.568
4.2e+06,1.3823,8.97106
4.8e+06,1.3823,7.08268
5.4e+06,1.3823,5.67791
6e+06,1.3823,4.6129
0,1.44513,56.9914
600000,1.44513,51.5611
1.2e+06,1.44513,39.6559
1.8e+06,1.44513,28.5601
2.4e+06,1.44513,20.6325
3e+06,1.44513,15.2755
3.6e+06,1.44513,11.5951
4.2e+06,1.44513,8.9909
4.8e+06,1.44513,7.09749
5.4e+06,1.44513,5.68916
6e+06,1.44513,4.62157
0,1.50796,56.9914
600000,1.50796,51.6593
1.2e+06,1.50796,39.7568
1.8e+06,1.50796,28.6345
2.4e+06,1.50796,20.6843
3e+06,1.50796,15.3119
3.6e+06,1.50796,11.6212
4.2e+06,1.50796,9.01002
4.8e+06,1.50796,7.1118
5.4e+06,1.50796,5.70004
6e+06,1.50796,4.62998
0,1.5708,56.9914
600000,1.5708,51.7535
1.2e+06,1.5708,39.8525
1.8e+06,1.5708,28.705
2.4e+06,1.5708,20.7335
3e+06,1.5708,15.3466
3.6e+06,1.5708,11.6461
4.2e+06,1.5708,9.02839
